pid	ip	cluster
1	1.3	C4
1	1.5	C3
1	1.6	C5
1	1.7	C5
1	1.8	C5
1	2.0	C5
2	1.3	C4
2	1.5	C3
2	1.6	C5
2	1.7	C5
2	1.8	C5
2	2.0	C5
3	1.3	C4
3	1.5	C3
3	1.6	C5
3	1.7	C5
3	1.8	C5
3	2.0	C5
4	1.3	C4
4	1.5	C3
4	1.6	C16
4	1.7	C16
4	1.8	C16
4	2.0	C16
5	1.3	C2
5	1.5	C1
5	1.6	C19
5	1.7	C19
5	1.8	C20
5	2.0	C20
6	1.3	C9
6	1.5	C9
6	1.6	C9
6	1.7	C9
6	1.8	C9
6	2.0	C9
7	1.3	C2
7	1.5	C1
7	1.6	C1
7	1.7	C1
7	1.8	C1
7	2.0	C1
8	1.3	C4
8	1.5	C3
8	1.6	C5
8	1.7	C5
8	1.8	C5
8	2.0	C5
9	1.3	C4
9	1.5	C3
9	1.6	C5
9	1.7	C5
9	1.8	C5
9	2.0	C5
10	1.3	C11
10	1.5	C12
10	1.6	C12
10	1.7	C12
10	1.8	C12
10	2.0	C12
11	1.3	C4
11	1.5	C3
11	1.6	C5
11	1.7	C5
11	1.8	C5
11	2.0	C5
12	1.3	C4
12	1.5	C3
12	1.6	C5
12	1.7	C5
12	1.8	C5
12	2.0	C5
13	1.3	C4
13	1.5	C17
13	1.6	C18
13	1.7	C18
13	1.8	C19
13	2.0	C19
14	1.3	C4
14	1.5	C3
14	1.6	C16
14	1.7	C16
14	1.8	C16
14	2.0	C16
15	1.3	C9
15	1.5	C9
15	1.6	C9
15	1.7	C9
15	1.8	C9
15	2.0	C9
16	1.3	C4
16	1.5	C3
16	1.6	C5
16	1.7	C5
16	1.8	C5
16	2.0	C5
17	1.3	C4
17	1.5	C3
17	1.6	C5
17	1.7	C5
17	1.8	C5
17	2.0	C5
18	1.3	C4
18	1.5	C3
18	1.6	C5
18	1.7	C5
18	1.8	C5
18	2.0	C5
19	1.3	C4
19	1.5	C3
19	1.6	C5
19	1.7	C5
19	1.8	C5
19	2.0	C5
20	1.3	C4
20	1.5	C3
20	1.6	C5
20	1.7	C5
20	1.8	C5
20	2.0	C5
21	1.3	C1
21	1.5	C2
21	1.6	C21
21	1.7	C21
21	1.8	C22
21	2.0	C22
22	1.3	C4
22	1.5	C3
22	1.6	C5
22	1.7	C5
22	1.8	C5
22	2.0	C5
23	1.3	C4
23	1.5	C3
23	1.6	C5
23	1.7	C5
23	1.8	C5
23	2.0	C5
24	1.3	C9
24	1.5	C9
24	1.6	C9
24	1.7	C9
24	1.8	C9
24	2.0	C9
25	1.3	C4
25	1.5	C3
25	1.6	C5
25	1.7	C5
25	1.8	C5
25	2.0	C5
26	1.3	C12
26	1.5	C13
26	1.6	C13
26	1.7	C13
26	1.8	C13
26	2.0	C13
27	1.3	C4
27	1.5	C3
27	1.6	C5
27	1.7	C5
27	1.8	C5
27	2.0	C5
28	1.3	C4
28	1.5	C3
28	1.6	C5
28	1.7	C5
28	1.8	C5
28	2.0	C5
29	1.3	C12
29	1.5	C13
29	1.6	C13
29	1.7	C13
29	1.8	C13
29	2.0	C13
30	1.3	C4
30	1.5	C3
30	1.6	C16
30	1.7	C16
30	1.8	C16
30	2.0	C16
31	1.3	C4
31	1.5	C3
31	1.6	C5
31	1.7	C5
31	1.8	C5
31	2.0	C5
